Archivo,N,Epsilon,TipoExperimento,Parametro,Estimado,Exacto,ErrorAbs,ErrorRel
chicago2015.txt,15808577,0.1,Quantile,0,42,42,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.020,46,46,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.040,46,46,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.060,46,46,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.080,46,46,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.100,46,48,2,0.042
chicago2015.txt,15808577,0.100,Quantile,0.120,46,52,6,0.115
chicago2015.txt,15808577,0.100,Quantile,0.140,50,56,6,0.107
chicago2015.txt,15808577,0.100,Quantile,0.160,52,56,4,0.071
chicago2015.txt,15808577,0.100,Quantile,0.180,56,56,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.200,56,56,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.220,56,56,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.240,56,56,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.260,56,56,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.280,56,56,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.300,56,56,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.320,56,63,7,0.111
chicago2015.txt,15808577,0.100,Quantile,0.340,56,68,12,0.176
chicago2015.txt,15808577,0.100,Quantile,0.360,63,84,21,0.250
chicago2015.txt,15808577,0.100,Quantile,0.380,68,124,56,0.452
chicago2015.txt,15808577,0.100,Quantile,0.400,84,164,80,0.488
chicago2015.txt,15808577,0.100,Quantile,0.420,120,274,154,0.562
chicago2015.txt,15808577,0.100,Quantile,0.440,163,338,175,0.518
chicago2015.txt,15808577,0.100,Quantile,0.460,267,426,159,0.373
chicago2015.txt,15808577,0.100,Quantile,0.480,332,573,241,0.421
chicago2015.txt,15808577,0.100,Quantile,0.500,408,1004,596,0.594
chicago2015.txt,15808577,0.100,Quantile,0.520,557,1272,715,0.562
chicago2015.txt,15808577,0.100,Quantile,0.540,966,1424,458,0.322
chicago2015.txt,15808577,0.100,Quantile,0.560,1251,1454,203,0.140
chicago2015.txt,15808577,0.100,Quantile,0.580,1409,1454,45,0.031
chicago2015.txt,15808577,0.100,Quantile,0.600,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.620,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.640,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.660,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.680,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.700,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.720,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.740,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.760,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.780,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.800,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.820,1454,1454,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.840,1454,1488,34,0.023
chicago2015.txt,15808577,0.100,Quantile,0.860,1454,1504,50,0.033
chicago2015.txt,15808577,0.100,Quantile,0.880,1480,1504,24,0.016
chicago2015.txt,15808577,0.100,Quantile,0.900,1504,1504,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.920,1504,1504,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.940,1504,1504,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.960,1504,1504,0,0.000
chicago2015.txt,15808577,0.100,Quantile,0.980,1504,1504,0,0.000
chicago2015.txt,15808577,0.100,Rank,42,0,0,0,-1.00
chicago2015.txt,15808577,0.10,Rank,46,219424,2704,216720,80.15
chicago2015.txt,15808577,0.10,Rank,46,219424,2704,216720,80.15
chicago2015.txt,15808577,0.10,Rank,46,219424,2704,216720,80.15
chicago2015.txt,15808577,0.10,Rank,46,219424,2704,216720,80.15
chicago2015.txt,15808577,0.10,Rank,48,2182883,1577118,605765,0.38
chicago2015.txt,15808577,0.10,Rank,52,2369677,1766092,603585,0.34
chicago2015.txt,15808577,0.10,Rank,56,2652984,2025657,627327,0.31
chicago2015.txt,15808577,0.10,Rank,56,2652984,2025657,627327,0.31
chicago2015.txt,15808577,0.10,Rank,56,2652984,2025657,627327,0.31
