Archivo,N,Epsilon,TipoExperimento,Parametro,Estimado,Exacto,ErrorAbs,ErrorRel
Uniform.txt,5000000,0.10,Rank,659921,3481993,3299997,181996,0.06
Uniform.txt,5000000,0.10,Rank,679857,3581966,3399996,181970,0.05
Uniform.txt,5000000,0.10,Rank,699934,3662739,3499997,162742,0.05
Uniform.txt,5000000,0.10,Rank,719910,3776534,3599999,176535,0.05
Uniform.txt,5000000,0.10,Rank,739946,3880220,3699995,180225,0.05
Uniform.txt,5000000,0.10,Rank,759895,3957151,3799996,157155,0.04
Uniform.txt,5000000,0.10,Rank,779832,4080931,3899997,180934,0.05
Uniform.txt,5000000,0.10,Rank,799788,4178725,3999999,178726,0.04
Uniform.txt,5000000,0.10,Rank,819885,4259751,4099996,159755,0.04
Uniform.txt,5000000,0.10,Rank,840016,4373417,4200000,173417,0.04
Uniform.txt,5000000,0.10,Rank,860005,4476715,4299998,176717,0.04
Uniform.txt,5000000,0.10,Rank,880054,4556334,4400000,156334,0.04
Uniform.txt,5000000,0.10,Rank,900039,4647346,4499996,147350,0.03
Uniform.txt,5000000,0.10,Rank,919977,4771382,4599999,171383,0.04
Uniform.txt,5000000,0.10,Rank,939885,4850616,4699998,150618,0.03
Uniform.txt,5000000,0.10,Rank,959993,4927419,4799998,127421,0.03
Uniform.txt,5000000,0.10,Rank,980083,4999998,4899999,99999,0.02
Uniform.txt,5000000,0.05,Quantile,0.00,1,1,0,0.000
Uniform.txt,5000000,0.050,Quantile,0.020,7139,20095,12956,0.645
Uniform.txt,5000000,0.050,Quantile,0.040,24798,39991,15193,0.380
Uniform.txt,5000000,0.050,Quantile,0.060,43749,60046,16297,0.271
Uniform.txt,5000000,0.050,Quantile,0.080,63016,80104,17088,0.213
Uniform.txt,5000000,0.050,Quantile,0.100,82819,100036,17217,0.172
Uniform.txt,5000000,0.050,Quantile,0.120,101854,120026,18172,0.151
Uniform.txt,5000000,0.050,Quantile,0.140,122012,140113,18101,0.129
Uniform.txt,5000000,0.050,Quantile,0.160,143021,160193,17172,0.107
Uniform.txt,5000000,0.050,Quantile,0.180,161999,180127,18128,0.101
Uniform.txt,5000000,0.050,Quantile,0.200,181555,199955,18400,0.092
Uniform.txt,5000000,0.050,Quantile,0.220,201574,220123,18549,0.084
Uniform.txt,5000000,0.050,Quantile,0.240,220857,240127,19270,0.080
Uniform.txt,5000000,0.050,Quantile,0.260,241230,260140,18910,0.073
Uniform.txt,5000000,0.050,Quantile,0.280,261564,280120,18556,0.066
Uniform.txt,5000000,0.050,Quantile,0.300,281555,300096,18541,0.062
Uniform.txt,5000000,0.050,Quantile,0.320,300276,320070,19794,0.062
Uniform.txt,5000000,0.050,Quantile,0.340,320875,340011,19136,0.056
Uniform.txt,5000000,0.050,Quantile,0.360,340534,359991,19457,0.054
Uniform.txt,5000000,0.050,Quantile,0.380,361251,380038,18787,0.049
Uniform.txt,5000000,0.050,Quantile,0.400,380361,400065,19704,0.049
Uniform.txt,5000000,0.050,Quantile,0.420,401263,420041,18778,0.045
Uniform.txt,5000000,0.050,Quantile,0.440,420262,440016,19754,0.045
Uniform.txt,5000000,0.050,Quantile,0.460,441196,459957,18761,0.041
Uniform.txt,5000000,0.050,Quantile,0.480,460813,479948,19135,0.040
Uniform.txt,5000000,0.050,Quantile,0.500,480936,499897,18961,0.038
Uniform.txt,5000000,0.050,Quantile,0.520,499611,519901,20290,0.039
