Archivo,N,Epsilon,TipoExperimento,Parametro,Estimado,Exacto,ErrorAbs,ErrorRel
Log-normal.txt,5000000,0.10,Rank,3524136,2982887,2799999,182888,0.07
Log-normal.txt,5000000,0.10,Rank,3615346,3061616,2900000,161616,0.06
Log-normal.txt,5000000,0.10,Rank,3710046,3187575,3000000,187575,0.06
Log-normal.txt,5000000,0.10,Rank,3807958,3282937,3100000,182937,0.06
Log-normal.txt,5000000,0.10,Rank,3910175,3361787,3200000,161787,0.05
Log-normal.txt,5000000,0.10,Rank,4017661,3479940,3300000,179940,0.05
Log-normal.txt,5000000,0.10,Rank,4130518,3581451,3400000,181451,0.05
Log-normal.txt,5000000,0.10,Rank,4249016,3658641,3500000,158641,0.05
Log-normal.txt,5000000,0.10,Rank,4374321,3782550,3600000,182550,0.05
Log-normal.txt,5000000,0.10,Rank,4508873,3879703,3700000,179703,0.05
Log-normal.txt,5000000,0.10,Rank,4652693,3958686,3800000,158686,0.04
Log-normal.txt,5000000,0.10,Rank,4809008,4074785,3899998,174787,0.04
Log-normal.txt,5000000,0.10,Rank,4978696,4178599,4000000,178599,0.04
Log-normal.txt,5000000,0.10,Rank,5165753,4257705,4100000,157705,0.04
Log-normal.txt,5000000,0.10,Rank,5375507,4375467,4199998,175469,0.04
Log-normal.txt,5000000,0.10,Rank,5610960,4476846,4299999,176847,0.04
Log-normal.txt,5000000,0.10,Rank,5882824,4560176,4400000,160176,0.04
Log-normal.txt,5000000,0.10,Rank,6204900,4651443,4500000,151443,0.03
Log-normal.txt,5000000,0.10,Rank,6599196,4773558,4599999,173559,0.04
Log-normal.txt,5000000,0.10,Rank,7113367,4850746,4700000,150746,0.03
Log-normal.txt,5000000,0.10,Rank,7846693,4929468,4800000,129468,0.03
Log-normal.txt,5000000,0.10,Rank,9127987,5000000,4900000,100000,0.02
Log-normal.txt,5000000,0.05,Quantile,0.00,214551,214551,0,0.000
Log-normal.txt,5000000,0.050,Quantile,0.020,952729,1170726,217997,0.186
Log-normal.txt,5000000,0.050,Quantile,0.040,1216026,1362126,146100,0.107
Log-normal.txt,5000000,0.050,Quantile,0.060,1386074,1502511,116437,0.077
Log-normal.txt,5000000,0.050,Quantile,0.080,1522692,1619340,96648,0.060
Log-normal.txt,5000000,0.050,Quantile,0.100,1635189,1723093,87904,0.051
Log-normal.txt,5000000,0.050,Quantile,0.120,1738652,1817694,79042,0.043
Log-normal.txt,5000000,0.050,Quantile,0.140,1827776,1905381,77605,0.041
Log-normal.txt,5000000,0.050,Quantile,0.160,1914530,1988920,74390,0.037
Log-normal.txt,5000000,0.050,Quantile,0.180,1995338,2069039,73701,0.036
Log-normal.txt,5000000,0.050,Quantile,0.200,2080912,2146653,65741,0.031
Log-normal.txt,5000000,0.050,Quantile,0.220,2152809,2222370,69561,0.031
Log-normal.txt,5000000,0.050,Quantile,0.240,2227242,2296886,69644,0.030
Log-normal.txt,5000000,0.050,Quantile,0.260,2303087,2370437,67350,0.028
Log-normal.txt,5000000,0.050,Quantile,0.280,2373445,2442863,69418,0.028
Log-normal.txt,5000000,0.050,Quantile,0.300,2447165,2515032,67867,0.027
Log-normal.txt,5000000,0.050,Quantile,0.320,2518331,2586958,68627,0.027
Log-normal.txt,5000000,0.050,Quantile,0.340,2591678,2659533,67855,0.026
Log-normal.txt,5000000,0.050,Quantile,0.360,2663905,2732017,68112,0.025
Log-normal.txt,5000000,0.050,Quantile,0.380,2735090,2805707,70617,0.025
Log-normal.txt,5000000,0.050,Quantile,0.400,2807909,2879345,71436,0.025
Log-normal.txt,5000000,0.050,Quantile,0.420,2883629,2954121,70492,0.024
Log-normal.txt,5000000,0.050,Quantile,0.440,2957865,3030496,72631,0.024
Log-normal.txt,5000000,0.050,Quantile,0.460,3034701,3108132,73431,0.024
Log-normal.txt,5000000,0.050,Quantile,0.480,3107613,3187136,79523,0.025
Log-normal.txt,5000000,0.050,Quantile,0.500,3192089,3267905,75816,0.023
Log-normal.txt,5000000,0.050,Quantile,0.520,3267762,3351049,83287,0.025
Log-normal.txt,5000000,0.050,Quantile,0.540,3356429,3436094,79665,0.023
Log-normal.txt,5000000,0.050,Quantile,0.560,3436533,3524136,87603,0.025
Log-normal.txt,5000000,0.050,Quantile,0.580,3528956,3615346,86390,0.024
Log-normal.txt,5000000,0.050,Quantile,0.600,3620026,3710046,90020,0.024
Log-normal.txt,5000000,0.050,Quantile,0.620,3716374,3807958,91584,0.024
Log-normal.txt,5000000,0.050,Quantile,0.640,3811848,3910175,98327,0.025
Log-normal.txt,5000000,0.050,Quantile,0.660,3916489,4017661,101172,0.025
Log-normal.txt,5000000,0.050,Quantile,0.680,4022056,4130518,108462,0.026
Log-normal.txt,5000000,0.050,Quantile,0.700,4138948,4249016,110068,0.026
Log-normal.txt,5000000,0.050,Quantile,0.720,4250505,4374321,123816,0.028
Log-normal.txt,5000000,0.050,Quantile,0.740,4385573,4508873,123300,0.027
Log-normal.txt,5000000,0.050,Quantile,0.760,4513667,4652693,139026,0.030
Log-normal.txt,5000000,0.050,Quantile,0.780,4665926,4809008,143082,0.030
Log-normal.txt,5000000,0.050,Quantile,0.800,4819297,4978696,159399,0.032
Log-normal.txt,5000000,0.050,Quantile,0.820,4992586,5165753,173167,0.034
Log-normal.txt,5000000,0.050,Quantile,0.840,5181517,5375507,193990,0.036
Log-normal.txt,5000000,0.050,Quantile,0.860,5393806,5610960,217154,0.039
Log-normal.txt,5000000,0.050,Quantile,0.880,5627472,5882824,255352,0.043
Log-normal.txt,5000000,0.050,Quantile,0.900,5903544,6204900,301356,0.049
Log-normal.txt,5000000,0.050,Quantile,0.920,6219157,6599196,380039,0.058
Log-normal.txt,5000000,0.050,Quantile,0.940,6664518,7113367,448849,0.063
Log-normal.txt,5000000,0.050,Quantile,0.960,7250776,7846693,595917,0.076
Log-normal.txt,5000000,0.050,Quantile,0.980,8041511,9127987,1086476,0.119
Log-normal.txt,5000000,0.050,Rank,214551,0,0,0,-1.00
Log-normal.txt,5000000,0.05,Rank,1170726,165120,100000,65120,0.65
Log-normal.txt,5000000,0.05,Rank,1362126,280000,200000,80000,0.40
Log-normal.txt,5000000,0.05,Rank,1502511,388672,300000,88672,0.30
Log-normal.txt,5000000,0.05,Rank,1619340,484032,400000,84032,0.21
Log-normal.txt,5000000,0.05,Rank,1723093,591744,500000,91744,0.18
Log-normal.txt,5000000,0.05,Rank,1817694,684032,599998,84034,0.14
Log-normal.txt,5000000,0.05,Rank,1905381,797888,700000,97888,0.14
Log-normal.txt,5000000,0.05,Rank,1988920,889216,800000,89216,0.11
Log-normal.txt,5000000,0.05,Rank,2069039,996864,899999,96865,0.11
Log-normal.txt,5000000,0.05,Rank,2146653,1085120,1000000,85120,0.09
Log-normal.txt,5000000,0.05,Rank,2222370,1198912,1100000,98912,0.09
Log-normal.txt,5000000,0.05,Rank,2296886,1291264,1200000,91264,0.08
Log-normal.txt,5000000,0.05,Rank,2370437,1396864,1300000,96864,0.07
Log-normal.txt,5000000,0.05,Rank,2442863,1491200,1400000,91200,0.07
Log-normal.txt,5000000,0.05,Rank,2515032,1594816,1500000,94816,0.06
Log-normal.txt,5000000,0.05,Rank,2586958,1692224,1599999,92225,0.06
Log-normal.txt,5000000,0.05,Rank,2659533,1795840,1700000,95840,0.06
Log-normal.txt,5000000,0.05,Rank,2732017,1896320,1800000,96320,0.05
Log-normal.txt,5000000,0.05,Rank,2805707,1997824,1899999,97825,0.05
Log-normal.txt,5000000,0.05,Rank,2879345,2093248,2000000,93248,0.05
Log-normal.txt,5000000,0.05,Rank,2954121,2198848,2100000,98848,0.05
Log-normal.txt,5000000,0.05,Rank,3030496,2289152,2200000,89152,0.04
Log-normal.txt,5000000,0.05,Rank,3108132,2401984,2299999,101985,0.04
Log-normal.txt,5000000,0.05,Rank,3187136,2490240,2399995,90245,0.04
Log-normal.txt,5000000,0.05,Rank,3267905,2600000,2499999,100001,0.04
Log-normal.txt,5000000,0.05,Rank,3351049,2692224,2599999,92225,0.04
Log-normal.txt,5000000,0.05,Rank,3436094,2799936,2700000,99936,0.04
Log-normal.txt,5000000,0.05,Rank,3524136,2894336,2799999,94337,0.03
Log-normal.txt,5000000,0.05,Rank,3615346,2997888,2900000,97888,0.03
Log-normal.txt,5000000,0.05,Rank,3710046,3093312,3000000,93312,0.03
Log-normal.txt,5000000,0.05,Rank,3807958,3197888,3100000,97888,0.03
Log-normal.txt,5000000,0.05,Rank,3910175,3292288,3200000,92288,0.03
Log-normal.txt,5000000,0.05,Rank,4017661,3398976,3300000,98976,0.03
Log-normal.txt,5000000,0.05,Rank,4130518,3491264,3400000,91264,0.03
Log-normal.txt,5000000,0.05,Rank,4249016,3598912,3500000,98912,0.03
Log-normal.txt,5000000,0.05,Rank,4374321,3687168,3600000,87168,0.02
Log-normal.txt,5000000,0.05,Rank,4508873,3795840,3700000,95840,0.03
Log-normal.txt,5000000,0.05,Rank,4652693,3889216,3800000,89216,0.02
Log-normal.txt,5000000,0.05,Rank,4809008,3998912,3899998,98914,0.03
Log-normal.txt,5000000,0.05,Rank,4978696,4087168,4000000,87168,0.02
Log-normal.txt,5000000,0.05,Rank,5165753,4196864,4100000,96864,0.02
Log-normal.txt,5000000,0.05,Rank,5375507,4285056,4199998,85058,0.02
Log-normal.txt,5000000,0.05,Rank,5610960,4395840,4299999,95841,0.02
Log-normal.txt,5000000,0.05,Rank,5882824,4485120,4400000,85120,0.02
Log-normal.txt,5000000,0.05,Rank,6204900,4594880,4500000,94880,0.02
Log-normal.txt,5000000,0.05,Rank,6599196,4681024,4599999,81025,0.02
Log-normal.txt,5000000,0.05,Rank,7113367,4788672,4700000,88672,0.02
Log-normal.txt,5000000,0.05,Rank,7846693,4879936,4800000,79936,0.02
Log-normal.txt,5000000,0.05,Rank,9127987,4965120,4900000,65120,0.01
